authors,title,journal,link,,,
"Mousavi, P., Ward, R.K., Lansdorp, P.M., and Fels, S.S.",Multi‑Feature Analysis and Classification of Human Chromosome Images Using Centromere Segmentation Algorithms,"Proc. of the IEEE Conference on Image Processing, Vol I, September 2000, pp.152‑155",,,,
"Pronina, E., Ward, R.K., and Nasiopoulos, P.",Interactive DVD Programming Using Next Generation Content‑Based Encoded Multimedia Data,"Proc. of the IEEE International Conference on Image Processing, Vol III, September 2000, pp. 246‑249.",,,,
"Poon, S. and Ward, R.K.",A Simple and Effective Filter Based on the Rank Difference Filter,"Proc. of the IEEE Conference on Image Processing, Vol I, September 2000, pp. 900‑903.",,,,
"Mousavi, P., Ward, R.K., Sameti, M., Lansdorp, P.M., and Fels, S.S.",Homologue Classification of Human Chromosome Images Using an Iterative Centromere Segmentation Algorithm,"Proc. of IEEE Engineering in Medicine and Biology (EMBS) International Conference at World Congress on Medical Physics and Biomedical Engineering 2000. July 2000, pp. 4314‑4318, (Best Student Paper Award.)",,,,
"Ismaeil, I., Docef, A., Kossentini, F., and Ward, R.",Computational Performance Control for DCT ‑ Based Video Coding,"ICASSP2000, June 2000, Vol. IV, pp. 1911‑1914.",,,,
"Zahir, S., Muvad Agha, A.K., and Ward, R.K.",A Near Exact‑Image Expansion scheme for Bi‑Level Images,"Proc. of the IEEE International Conference on Image Processing, Vol 9, Sept 2000, pp.331‑335.",,,,
"Shirani, S., Jerbi, A., Kossentini, F., and Ward, R.K.",A Shape Descriptor and its Application in Content‑Based Retrieval,"Int’l. Conf. on Computer Vision, Pattern Recognition and Image Processing, February 2000.",,,,
"Ismaeil, I., Docef, A., Kossentini, F., and Ward, R.K.",Efficient Motion Estimation Using Spatial and Temporal Motion Vector Prediction,"Proc. of the IEEE Inter. Conf. on Image Proc., Kobe, Japan, October 1999, Vol. 1, pp. 70‑75.",,,,
"Shirani, S., Jerbi, A., Kossentini, F., and Ward, R.K.",Content‑Based Video Retrieve Under Partial Occlusion,"Proc. of the IEEE Inter. Conf. on Image Proc., Kobe, Japan, October 1999, Vol. 3, pp. 255‑259.",,,,
"Barzykina, E. and Ward, R.K.",Removal of Blocking Artifacts Using Random Pattern Filtering,"Proc. of the IEEE Inter. Conf. on Image Proc., October 1999, Vol. 2, pp. 904‑908.",,,,
"Kharma, N. and Ward, R.K.",A Novel Invariant Mapping Applied to Handwritten Arabic Characters,"Proc. of the Inter. Conf. on Document Analysis and Recognition, September 1999, pp. 41‑44.",,,,
"Ahmed, M. and Ward, R.K.",A Novel Intelligent System for Defining Similar Symbols,"Proc. of the IEEE PACRIM, Victoria, BC, August 1999, pp. 197‑200.",,,,
"Mousavi, P., Ward, R.K., and Lansdorp, P.",Classification of Chromosome 16 Homologues Using Centromere and Telomere Intensity Features,"Proc. of the IEEE PACRIM, Victoria, BC, August 1999, pp. 205‑208.",,,,
"Murad‑agha, A., Zahir, S., and Ward, R.K.",Image Expansion Using Segmentation‑Based Method,"Proc. of the IEEE PACRIM, Victoria, BC, August 1999, pp. 95‑98.",,,,
"Shirani, S., Kossentini, F., and Ward, R.K.","Error Concealment Methods, A Comparative Study","Proc. of the Can. Conf. on Elec. & Comp. Eng., Edmonton, Canada, May 1999, pp. 835‑840.",,,,
"Mousavi, P., Ward, R.K., and Lansdorp, P.",Feature Analysis and Classification of Homologous Chromosome 16s Using Fluorescence Microscopy Images,"Proc. of the Can. Conf. on Elec. & Comp. Eng., May 1999, pp. 841‑846, (Best Student Paper Award.)",,,,
"Ismaeil, I., Kossentini, F., and Ward, R.K.",Joint Rate Control for MPEG‑2 Encoding of Multiple Video Sequences,"Proc. of the Can. Conf. on Elec. & Comp. Eng., May 1999, pp. 847‑850.",,,,
"Kharma, N., Ahmed, M., and Ward, R.K.","A New Comparative Database of Hand‑Written Arabic Words, Numbers and Signatures for OCR Testing","Proc. of the Can. Conf. on Elec. & Comp. Eng., May 1999, pp. 766‑768.",,,,
"Ismaeil, I., Docef, A., Kossentini, F., and Ward, R.K.",Motion Estimation Using Long Term Motion Vector Prediction,"Proc. of the IEEE Data Compression Conf. (DCC), March 1999, pp. 531.",,,,
"Koo, I., Nasiopoulos, P., and Ward, R. K.",Joint MPEG‑2 Coding for Multi‑Program Broadcasting of Pre‑Recorded Video,"IEEE, ICASSP, March 1999, pp. 2227‑2230.",,,,
"Shirani, S., Kossentini, F., and Ward, R.K.",An Adaptive Markov Random Field Based Error Concealment Method for Video Reconstruction in an Error Prone Environment,"IEEE, ICASPP, March 1999, Vol. 4, pp. 3117‑3120.",,,,
"Poon, S., Ward, R.K., and Lansdorp, P.",Segmenting Telomeres and Chromosomes in Cells,"IEEE, ICASSP, March 1999, pp. 3413‑3416.",,,,
"Koo, I., Nasiopoulos, P., and Ward, R.K.",Optimum Picture Quality and Bandwidth Allocation for MPEG‑2 Video Broadcasting,"Asilomar ’98 Conf., INVITED PAPER, Monterey, California, November 1‑4, 1998, pp. 108‑111.",,,,
"Shirani, S., Kossentini, F., and Ward, R.K.",Reconstruction of Motion Vector Missing Macroblocks in H•263 Encoded Video Transmission Over Lossy Networks,"Proc. of the IEEE Inter. Conf. on Image Proc., Chicago, IL, October 1998,Vol. 3, pp. 487‑491.",,,,
"Sameti, M., Morgan‑Parkes, J., Ward, R.K., and Palcic, B.",Classifying Image Features in the Last Screening Mammograms Prior to Detection of a Malignant Mass,"Digital Mammography, N. Karssemeijer, et al, ed. Kluwer Academic Publishers, June 1998, pp. 127‑134. Accepted as a long paper (8 pages); the other types of accepted papers are short papers (4 pages) and short abstracts (2 pages).",,,,
"Shirani, S., Kossentini, F., and Ward, R.K.",Packet Loss Concealment in Baseline JPEG Coded Images,"Proc. of the IEEE Symposium on Advances in Digital Filtering and Signal Processing, Victoria, BC, June 1998, pp. 16‑19.",,,,
"Barzykina, E., Nasiopoulos, N., and Ward, R.K.",MPEG‑2 Video Coding with Image Partitioning,"IEEE ICASSP ’98, Seattle, WA, May 1998, Vol. 5, pp. 2825‑2828.",,,,
"Sameti, M., Ward, R.K., and Palcic, R.",Texture Feature Extraction for Tumour Detection in Mammographic Images,"Proc. of the IEEE Pac. Rim Conf. on Comm., Computers and Signal Processing, August 1997, pp. 831‑834.",,,,
"Barzykina, E., Nasiopoulos, P., and Ward, R.K.",Image Compression of Facial Photographs Based on Wavelet Transform,"IEEE Pac. Rim Conf. on Comm., Computers and Signal Processing, August 20‑22, 1997, pp. 322‑325.",,,,
"Lee, Y., Kossentini, F., and Ward, R.K.",Efficient RD Optimized Macroblock Coding Mode Selection for MPEG‑2 Video Encoding,"Proc. of the IEEE Inter. Conf. on Image Processing, Santa Barbara, California, October 1997, pp. 582‑585.",,,,
"Nasiopoulos, P., Ward, R.K., and Otsuka, M.",The Challenge of DVD Authoring,"Proc. Of the 13th Inter. Conf. On Digital Signal Processing (DSP 97), Vol. 1, pp. 311‑314, Greece, July 1997.",,,,
"Lee, Y., Kossentini, F., Smith, M., and Ward, R.K.",Predictive and Search Techniques for RD‑Optimized Motion Estimation in a Very Low Bit Rate Video Coding Framework,"ICASSP 97, Vol. 4, Munich, Germany, April 1997, pp. 2861‑2864.",,,,
"Sameti, M., Ward, R.K., Morgan‑Parkes, J., and Palcic, B.",A Method for Detection of Malignant Masses in Digitized Mammograms Using a Fuzzy Segmentation Algorithm,"Proc. of the 19th Inter. Conf. IEEE/EMBS ’97, Chicago, IL, 1997.",,,,
"Sameti, M. and Ward, R.K.",A Fuzzy Segmentation Algorithm for Mammogram Partitioning,"3rd Inter. Workshop on Digital Mammography, Chicago, IL, Elsevier Science B.V., Publisher, June 1996, pp. 471‑474 .",,,,
"Ward, R.K.",Nonlinear Filtering & Processing of Cable TV Picture,"Computational Engineering in Systems Applications, INVITED PAPER, Lille, France, July 1996, pp. 759‑764.",,,,
"Lee, Y., Ward, R.K., Kossentini, F., and Smith, M.",Very Low Rate DCT Based Video Coding Using Dynamic VQ,"IEEE Conf. on Image Processing, INVITED PAPER, Lauzanne, Switzerland, September 1996, pp. 669‑672.",,,,
"Kossentini, F., and Ward, R.K.",An Analysis‑Compression Technique for Black/White Documents,"IEEE S.W. Symp. on Image Analysis and Interpretation, San Antonio, Texas, April 1996, pp. 141‑144.",,,,
"Lee, Y., Kossentini, F., and Ward, R.K.",Improving the Subjective Quality of Low Bit Rate Subband/Wavelet‑coded Images,"IEEE Conf. On Acc., Speech and Signal Processing, Atlanta, Georgia, May 1996, pp. 2367‑2370.",,,,
"Zhang, Q. and Ward, R.K.",Impulse Noise Cancelling in TV Pictures,"IEEE Inter. Conf. on Consumer Electronics, Chicago, IL, June 1995, pp. 292‑293.",,,,
"Shi, P. and Ward. R.K.",Enhancing Television Pictures,"IEEE Inter. Conf. on Systems, Man & Cybernetics, Vancouver, BC, October 1995, pp. 3498‑3502.",,,,
"Shi, P. and Ward. R.K.",Cable TV Impairments Cancellation,"2nd National Conference of Young Scientists and Engineers, Beijing, China, July 26‑28, 1995.",,,,
"Nasiopoulos, P. and Ward, R.K.",A Hybrid Coding Method for Digital HDTV Signals,"the 1995 IEEE International Symposium on Circuits and Systems, Seattle, Washington, U.S.A., Vol. 2, May 1995, pp. 769‑772.",,,,
"Nasiopoulos, P. and Ward, R.K.",Image Compression for Facial Photographs,"the 1995 IEEE Workshop on Nonlinear Signal and Image Processing, Halkidiki, Greece, Vol. 1, June 1995, pp. 436‑439.",,,,
"Nasiopoulos, P., Yedlin, M., and Ward, R.K.",A Fixed‑Length Compression Method Using the Karhunen‑Loeve Transform,"the 1995 IEEE Pacific Rim 1995 Conference, Victoria, BC, Canada, May 1995, pp. 581‑584.",,,,
"Nesbitt, D., Aghdasi, F., Ward, R.K., and Morgan‑Parkes, J.",Detection of Microcalcifications in Digitized Mammogram Film Images Using Wavelet Enhancement and Local Adaptive False Positive Suppression,"Proc. of IEEE Pac. Rim Conference on Communications, Computers and Signal Processing, Victoria, BC, Canada, May 1995, pp.594‑597.",,,,
"Xie, Q., Ward, R.K., and Laszlo, C.",Nonparametric Classifier Design Using Vector Quantization,"Proc. of the IEEE‑IMS Workshop on Information Theory and Statistics, Alex., Va, October 1994, pp. 22, INVITED PAPER.",,,,
"Shi, P. and Ward, R.K.",Improving the Quality of Cable T.V. Pictures,"IEEE Conf. on Image Processing, Austin, Texas, November 1994, pp. 197‑201.",,,,
"Ward, R.K., Montieth, D., and Madden J.",Can. Video Noise Reduction Save Money?,"National Cable Television Assoc. Convention Technical Papers, New Orleans, May 1994, pp. 48‑56.",,,,
"Aghdasi, F., Ward, R.K., and Palcic, B.",Neural Networks In Segmentation of Mammographic Microcalcifications,"Medical Imaging 1994: Image Processing, Proc. of the SPIE, Vol. 2167, May 1994, pp. 799‑810.",,,,
"Xie, Q., Laszlo, C., and Ward, R.K.",Vector Quantization Technique for Non‑Parametric Classifier Design,"Proc. of the 20th Can. Medical and Biological Engineering Society Conf., Vancouver, BC, May 1994, pp. 114‑115.",,,,
"Aghdasi, F., Ward, R.K., Morgan‑Parkes, J., and Palcic, B.",Feature Selection for Classification of Mammographic Microcalcification Clusters,"Proc. of the Annual Intl. Conference of the IEEE Engineering in Medicine & Biology Society, San Diego, October 1993, Vol. 15, pp. 58‑59.",,,,
"Xie, Q., Ward, R.K., and Laszlo, C.",Determining Normal Infants' Level of Distress from Cry Sounds,"Proc. of the Can. Conf. on Elect. & Comp. Eng., Vancouver, BC, September 1993, pp. 1094‑1097.",,,,
"Shi, X., and Ward, R.K.",Reconstruction of Photon‑limited Stellar Images by Generalized Projections Using the Cross Spectrum,"Proc. of the CCECE, Vancouver, BC, September 1993, pp. 1017‑1020.",,,,
"Zhang, Q. and Ward, R.K.",A Non‑intrusive Scheme for Measuring the Signal‑to‑Noise Ratio in Television Images,"Proc. of the CCECE, Vancouver, BC, September 1993, pp. 656‑659.",,,,
"Nasiopoulos, P. and Ward, R.K.",A Noise Resistant HDTV Compression Scheme,"Proc. of the CCECE, Vancouver, BC, Sept. 1993, pp. 648‑651.",,,,
"Aghdasi, F., Ward, R.K., and Palcic, B.",Classification of Mammographic Micro‑calcification Clusters,"Proc. of the CCECE, Vancouver, BC, September 1993, pp. 1196‑1199.",,,,
"Foster, M., Petrell, R., Ito, M.R., and Ward, R.K.",Detection and Counting of Uneaten Food Pellets in a Sea Cage Using Image Analysis,"Proc. of the Aquaculture Engineering Conf., Techniques for Modern Aquaculture, American Soc. Agricultural Engineers, Spokane, WA, June 21‑23, 1993, pp. 392‑402.",,,,
"Xie, Q., Ward, R.K., and Laszlo, C.A.",Multidimensional Histogram Classifier Design by Using Vector Quantization,"Proc. of the IEEE Pac. Rim Conf. on Comm., Comp. and Sig. Proc., Victoria, BC, May 19‑21, 1993, pp. 34‑42.",,,,
"Shi, X. and Ward, R.K.",Phase Retrieval from Photon‑limited Data Using the Cross Correlation,"Proc. of the IEEE Pac. Rim Conf. on Comm., Comp. And Sig. Proc., Victoria, BC, May 19‑21, 1993, pp. 43‑46.",,,,
"Nasiopoulos, P. and Ward, R.K.",Improving the HDTV Pictures Quality Under Noisy Conditions,"IEEE Conf. on Acc., Speech and Signal Processing (ICASSP), April 1993, pp. V277‑V280.",,,,
"Poon, S., Lockett, S.J., and Ward, R.K.",Characterization of a 3D Microscope Imaging System,"SPIE Proc., Biomedical Image Processing & Biomedical Visualization, Vol. 1905, February 1993, pp. 121‑128.",,,,
"Aghdasi, F., Ward, R.K., and Palcic, B.",Restoration of Mammographic Images in the Presence of Signal‑Dependent Noise,"Proc. of SPIE, Biomedical Image Processing & Biomedical Visualization, Vol. 1905, February 1993, pp. 740‑751.",,,,
"Aghdasi, F., Ward, R.K., and Palcic, B.",Noise Filtering for Mammographic Images,"Proc. of the IEEE Engineering in Medicine & Biology Society, Vol. 14, 1992, pp. 1877‑1878.",,,,
"Gresseth R., and Ward, R.K.",Automatic Recognition of the Hum Impairment in Cable TV Systems,"Proc. of the CSECE Conference, Toronto, September 1992, pp. TM5.13.1‑4.",,,,
"Aghdasi, F., Ward, R.K., and Palcic, B.",Restoration of Mammographic Images Using Local Statistics,"Proc. of the Can. Conf. on Elect. & Comp. Eng., Toronto, Vol. II, 1992, pp. MA7.6.1‑4.",,,,
"Nasiopoulos, P., Bouras, D., and Ward, R.K.",All Digital HDTV Broadcasting Over Channels With Interference,"Proc. of the CSECE Conference, Toronto, September 1992, pp. WA5.2.8.1‑4.",,,,
"Shi, P. and Ward, R.K.",Analysis and Automatic Detection of Composite Triple Beats,"Can. Cable Television 35th Annual Convention, Vancouver, BC, May 31‑June 3, 1992, pp. 103‑109.",,,,
"Shi, P., Ward, R.K., and Zhang, Q.",Automatic Recognition of Intermodulation Beat Products in Cable Television Pictures,"Proc. of the IEEE Conf. on Circuits & Systems, May 1992, pp. 1660‑1663.",,,,
"Zhang, Q. and Ward, R.K.",Automatic Monitoring of the Quality of Cable Television Picture,"Proc. of the IEEE Conf. on Acc., Speech and Signal Processing, March 1992, pp. III 549‑552.",,,,
"Poon, S., Ward, R.K., and Palcic, B.",Analysis of Three‑Dimensional Images in Quantitative Microscopy,"SPIE Proceedings, Vol. 1660, Biomedical Image Processing and Three Dimensional Microscopy, 1992, pp. 178‑185.",,,,
"Aghdasi, F., Ward, R.K., and Palcic, B.",Restoration of Mammographic Images Acquired By a New Fast Digitization System,"Proc. of SPIE, Vol. 1657, Image Processing Algorithms & Techniques III, February 1992, pp. 256‑267.",,,,
"Aghdasi, F., Ward, R.K., and Palcic, B.",Detection and Segmentation of Microcalcifications in Mammographic Image Analysis,"Proc. of the Cdn. Conf. on Elect. & Computer Engg., Vol II, 1991, pp. 63.1.1‑63.1.4.",,,,
"Zhang, Q. and Ward, R.K.",An Automatic System which Detects Impairments in Cable Television Pictures,"Proc. of the Cdn. Conf. on Electr. And Computer Eng., Sept. 1991, pp. 28.2.1‑28.2.4.",,,,
"Ward, R.K. and Lam, E.",Semi‑Blind Restoration from Differently Blurred Versions of an Image,"Proc. IEEE Conf. on Acoustics, Speech and Signal Processing, May 1991, pp. 2949‑2952.",,,,
"Zhang, Q. and Ward, R.K.",Feature Extraction of Cable Television Picture Impairments,"Proc. of the IEEE Pacific Rim Conf. on Comm., Computers and Signal Processing, May 1991, pp. 486‑489.",,,,
"Shi, P. and Ward, R.K.",OSNet: A Neural Network Implementation of Order Statistic Filters,"Proc. of the IEEE Pacific Rim Conf. on Comm., Computers and Signal Processing, May 1991, pp. 453‑456.",,,,
"Lam, E. and Ward, R.K.",Semi‑blind Restoration of Images Distorted by Random Time‑Varying Point Spread Functions,"Proc. of the Cdn. Conf. On Electr. and Computer Engineering, Sept. 1990, pp. 69.1.1‑69.1.4.",,,,
"Shi, P. and Ward, R.K.",The Case for Abandoning the Biological Resemblance Restriction: An Example of Neural Network Solution for Simultaneous Equations,"Proc. Inter Joint Conf. on Neural Networks, June 1990, pp. III 875‑882.",,,,
"Shi, P. and Ward, R.K.",A Neural Network Structure for Sorting Non‑negative Integers in Fixed Time,"Proc. of the Can. Conf. On Electrical & Computer Engineering, Sept. 1989, pp. 420‑423.",,,,
"Ward, R.K. and Guan L.",Restoration of Images Blurred by Time‑Varying Random Blur: The Case of Time‑Space Separable Noise Correlation,"Proc. of the Cdn. Conf. on Electrical & Computer Engineering, Sept. 1989, (an invited paper), pp. 20‑23.",,,,
"Shi, P. and Ward, R.K.",An Artificial Neural Network Implementation of the Median Filter,"Proc. of the IEEE Pac. Rim Conference on Communications, Computers and Signal Proc., June 1989, pp. 513‑516.",,,,
"Shi, P. and Ward, R.K.",Using the Perceptron to Process Binary Noisy Images,"Proc. of the Society for Computer Simulation Conf., San Diego, CA, January 1989.",,,,
"Guan, L. and Ward, R.K.",Restoration of Stochastically Blurred Images by the Constrained Deconvolution Method,"Proc. of the Cdn. Conf. On Electrical and Computer Engineering, November 1988, pp. 751‑754.",,,,
"Shi, P. and Ward, R.K.",Using the Hopfield Neural Net to Enhance Binary Noisy Images,"Proc. of the Cdn. Conf. on Electrical and Computer Engineering, November 1988, pp. 760‑763.",,,,
"Guan, L. and Ward, R.K.",A Maximum A Posteriori Approach to the Restoration of Randomly Distorted Signals,"Proc. of the IEEE Conf. On Acoustics Speech and Signal Processing, April 1988, pp. 1770‑1773.",,,,
"Shi, P. and Ward, R.K.",Restoration of Images Distorted by Sampling Jitter,"Proc. of the 25th Allerton Conf. on Communication, Control & Computing, Urbana‑Champaign, June 1987, pp. 503‑512.",,,,
"Ting, V.C.R. and Ward, R.K.",Separation and Recognition of Connected Hand‑printed Capital English Characters,"IEEE, Pacific Rim Conf. On Computers, Communication & Signal Processing, Victoria, June, 1987, pp. 512‑516.",,,,
"Rey, C and Ward, R.K.",An On‑Line Algorithm for Determining Convex Polytopes,"Proc. of the IEEE Conf. on Systems, Man and Cybernetics, Arizona, November 1985, pp. 1064‑1067.",,,,
"Ward, R.K. and Saleh, B.A.",Restoration of Images Recorded Under Spatial and Random Temporal Degradation,"Advances in Image Processing & Pattern Recognition, Proc. Intl. Conf., Pisa, Italy, December 1985, pp. 112‑119.",,,,
"Rey, C. and Ward, R.K.",An Adaptive Minimum‑Variance Predictor‑Smoother Algorithm for Image Enhancement,"Proc. of The 22nd Allerton Conf. on Communication, Control and Computing, Urbana‑Champaign, IL, October 1984, pp. 122‑131.",,,,
"Rey, C. and Ward, R.K.",Obtaining the Minimax Line Fit from the Convex Hull in a Two Dimensional Space,"Proc. Of the IEEE Systems, Man and Cybernetics Conf., India, January 1984, pp. 1064‑1067.",,,,
"Saleh, B. and Ward, R.K.",Restoration of Images Distorted by Optical Systems of Randomly Fluctuating Pupil Functions,"Proc. IEEE Conf. On Systems, Man and Cybernetics, October 1984, pp. 90‑93.",,,,
"Ward, R.K.",Diagnosis of Errors in the Estimates of the Parameters within a System for Six Estimation Methods,"Proc. IEEE Systems, Man and Cybernetics Conf., India, January 1984, pp. 952‑957.",,,,
"Ward, R.K.","Error Detection, A Geometric Approach","Proc. 21St Allerton Conf. on Communication, Control and Computing, October 5‑7, 1983, pp. 537‑545.",,,,
"Ward, R.K.",The Optimal Instrumental Variables Method,"Proc. of the AMSE '83 Intl. Winter Conf., Bermuda, March 1‑3, 1983, pp. 99‑112.",,,,
"Ward, R.K.",A Recursion Algorithm for Discrete Linear Estimation,"Proc. IEEE Intl. Conf. on Systems, Man and Cybernetics, Seattle, October 2‑3, 1982, pp. 290‑293.",,,,
"Ward, R.K.",On Reliability of Linear Combinations of Estimates in Linear Models,"Proc. IEEE Intl. Conf. on Systems, Man and Cybernetics, October 1981, pp. 462‑464.",,,,
"Ward, R.K.",A Land Reform Model for Zimbabwe,"Proc. IEEE Intl. Conf. on Cybernetics and Society, October 1980, pp. 860‑863.",,,,
"Ward, R.K.",Energy economy model for Zimbabwe Rhodesia's Electricity Demand,"Proc., IEEE Intl. Conf. on Cybernetics and Society, October 1979, pp. 882‑886.",,,,
